,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,0,0,0,0,0,0,0,0,0,0
AA,0,1,0,0,1,0,0,0,0,0
AACG,0,0,0,1,0,0,0,0,0,0
AACT,0,0,0,0,0,0,0,0,0,0
AADI,0,0,0,0,0,0,0,0,0,0
AAL,0,0,0,0,0,1,0,0,1,0
AAM,0,0,0,0,0,0,0,0,0,0
AAME,0,0,0,0,0,0,0,0,0,0
AAOI,0,0,0,0,0,0,0,0,1,0
AAON,0,0,0,0,0,0,0,0,0,0
AAP,0,0,0,0,0,0,0,0,0,0
AAPL,0,0,0,0,0,1,0,0,1,0
AAT,0,0,0,0,0,0,0,0,0,0
AB,0,0,0,0,0,0,0,0,0,0
ABAT,0,0,0,0,0,0,0,0,0,0
ABBV,0,0,1,0,0,0,1,0,0,1
ABCB,0,1,0,0,0,0,0,0,0,0
ABCL,0,0,0,0,0,0,0,0,0,0
ABEO,0,0,0,0,0,0,0,0,0,0
ABEV,0,0,0,0,0,0,0,0,0,0
ABG,0,0,0,0,0,0,0,0,0,0
ABL,0,0,0,0,0,0,0,0,0,0
ABLLL,0,0,0,0,0,0,0,0,0,0
ABLLW,0,0,0,0,0,0,0,0,0,0
ABLV,0,0,0,0,0,0,0,0,0,0
ABLVW,0,0,0,0,0,0,0,0,0,0
ABM,0,0,0,0,1,1,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0
ABOS,0,0,0,0,0,0,0,0,0,0
ABP,0,0,0,0,0,0,0,0,0,0
ABPWW,0,0,0,0,0,0,0,0,0,0
ABR,0,0,0,0,0,0,0,0,0,0
ABR^D,0,0,0,0,0,0,0,0,0,0
ABR^E,0,0,0,0,0,0,0,0,0,0
ABR^F,0,0,0,0,0,0,0,0,0,0
ABSI,0,0,0,0,0,0,0,0,0,0
ABT,0,0,0,0,0,0,0,0,0,0
ABTS,0,0,0,0,0,0,0,0,0,0
ABUS,0,0,0,0,0,0,0,0,0,0
ABVC,0,0,0,0,0,0,0,0,0,0
ABVE,0,0,0,0,0,0,0,0,0,0
ABVEW,0,0,0,0,0,0,0,0,0,0
ABVX,0,0,0,0,0,0,0,0,0,0
AC,0,0,0,0,0,0,0,0,0,0
ACA,0,0,0,1,0,0,0,0,0,0
ACAD,0,0,0,0,0,0,0,0,0,0
ACB,0,0,0,0,0,0,0,0,1,0
ACCD,0,0,0,0,0,0,0,0,0,0
ACCO,0,0,0,0,0,0,0,0,0,0
ACDC,0,0,0,0,0,0,0,0,0,0
ACEL,0,0,0,0,0,0,0,0,0,0
ACET,0,0,0,0,0,0,0,0,0,0
ACGL,0,0,0,0,0,0,1,0,0,0
ACGLN,0,0,0,0,0,0,1,0,0,0
ACGLO,0,0,0,0,0,0,1,0,0,0
ACHC,0,0,0,0,1,0,0,0,0,0
ACHL,0,0,0,0,0,0,0,0,0,0
ACHR,0,0,0,0,0,0,0,0,0,0
ACHV,0,0,0,0,0,0,0,0,0,0
ACI,0,0,0,0,0,0,0,0,0,0
ACIC,0,0,0,0,0,0,0,0,0,0
ACIU,0,0,0,1,0,0,0,0,0,0
ACIW,0,0,0,0,1,0,0,0,0,0
ACLS,0,0,0,0,0,0,0,0,0,0
ACLX,0,0,0,0,0,0,0,0,0,0
ACM,0,1,0,1,1,0,0,0,0,0
ACMR,0,0,0,0,0,0,0,0,0,0
ACN,0,0,0,0,0,0,0,0,0,0
ACNB,0,0,0,0,0,0,0,0,0,0
ACNT,0,0,0,0,0,0,0,0,0,0
ACOG,0,0,0,0,0,0,0,0,0,0
ACON,0,0,0,0,0,0,0,0,0,0
ACONW,0,0,0,0,0,0,0,0,0,0
ACP,0,0,0,0,0,0,0,0,0,0
ACP^A,0,0,0,0,0,0,0,0,0,0
ACR,0,0,0,0,0,0,0,0,0,0
ACRE,0,0,0,0,0,0,0,0,0,0
ACRS,0,0,0,1,0,0,0,0,0,0
ACRV,0,0,0,0,0,0,0,0,0,0
ACR^C,0,0,0,0,0,0,0,0,0,0
ACR^D,0,0,0,0,0,0,0,0,0,0
ACT,0,0,0,0,0,0,0,0,0,0
ACTG,0,0,0,0,0,0,0,0,0,0
ACTU,0,0,0,0,0,0,0,0,0,0
ACU,0,0,0,0,0,0,0,0,0,0
ACV,0,0,0,0,0,0,0,0,0,0
ACVA,0,0,0,0,0,0,0,0,0,0
ACXP,0,0,0,0,0,0,0,0,0,0
ADAG,0,0,0,0,0,0,0,0,0,0
ADAP,0,0,0,0,0,0,0,0,0,0
ADBE,0,0,0,1,0,1,0,0,0,0
ADC,0,0,0,0,0,0,0,0,0,0
ADCT,0,0,0,0,0,0,0,0,0,0
ADC^A,0,0,0,0,0,0,0,0,0,0
ADD,0,0,0,0,0,0,0,0,0,0
ADEA,0,0,0,0,0,0,0,0,0,0
ADGM,0,0,0,0,0,0,0,0,0,0
ADI,0,0,0,0,0,0,0,0,0,0
ADIL,0,0,0,0,0,0,0,0,0,0
ADM,0,0,0,0,0,0,0,0,0,0
ADMA,0,0,0,0,0,1,0,0,0,0
ADN,0,0,0,0,0,0,0,0,0,0
ADNT,0,0,1,0,0,0,0,0,0,0
ADNWW,0,0,0,0,0,0,0,0,0,0
ADP,0,0,0,0,0,0,0,0,0,0
ADPT,0,0,0,0,0,0,0,0,0,0
ADSE,0,0,0,0,0,0,0,1,0,0
ADSEW,0,0,0,0,0,0,0,1,0,0
ADSK,0,0,0,0,0,0,0,0,0,0
ADT,0,0,0,0,1,0,0,0,0,0
ADTN,0,0,0,0,0,0,0,0,0,0
ADTX,0,0,0,0,0,0,0,0,0,0
ADUR,0,0,0,0,0,0,0,0,0,0
ADUS,0,0,0,0,0,0,0,0,0,0
ADV,0,0,0,0,0,0,0,0,0,0
ADVM,0,0,0,0,0,0,0,0,0,0
ADVWW,0,0,0,0,0,0,0,0,0,0
ADX,0,0,0,0,0,0,0,0,0,0
ADXN,0,0,0,0,0,0,0,0,0,0
AE,0,0,0,0,0,0,0,0,0,0
AEE,0,0,0,0,0,0,0,0,0,0
AEF,0,0,0,0,0,0,0,0,0,0
AEFC,0,0,0,0,0,0,0,0,0,0
AEG,0,1,0,0,1,0,0,1,0,1
AEHL,0,0,0,0,0,0,0,0,0,0
AEHR,0,0,0,0,0,0,0,0,0,0
AEI,0,0,0,0,0,0,0,0,0,0
AEIS,0,0,1,0,0,0,0,0,0,0
AEM,0,0,0,0,0,0,0,0,0,0
AEMD,0,0,0,0,0,0,0,0,0,0
AENT,0,0,0,0,0,0,0,0,0,0
AENTW,0,0,0,0,0,0,0,0,0,0
